ra,dec,lum,z,stellarmasses,halomasses,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestObjID,PS15mJy_cut,PS100mJy_cut,divcut,divcuts18,galcut,incompsepregion,S18coadd,S16ILC
132.28042,-0.61701567,94833903204.75484,0.5276284000000001,284501709614.2645,24174810236486.14,20.02151,21.96741,20.196620000000006,19.40851,18.07841,0.4681638,0.1772581,0.05651906,0.03638113,0.07401274,21.07916,21.839,20.42586,19.65424,18.47332,0.3730631,0.3836445,0.09489819,0.1152962999999999,0.155197,0.1295691,0.1009593,0.06984321,0.05190099,0.0386048,1.2376487206729818e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.32626000000002,-0.42789138,57716795530.24648,0.536646,173150386590.73944,8964164330256.475,22.09357,21.14693,20.39778,19.39647,19.18184,0.6100774,0.1180743,0.05656511,0.04102532,0.1162619999999999,23.39185,21.61069,20.55628,19.65899,19.51451,1.778215,0.1937971,0.1078958,0.07298592,0.253276,0.1342372,0.1045966999999999,0.07235952,0.05377088,0.03999566,1.2376487206729818e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.34339,-0.55775936,93157159851.30246,0.5235721,279471479553.9073,23293526764273.73,23.36156,21.00842,19.83097,18.88439,18.57919,0.7489276999999999,0.06508774,0.03181832,0.02350467,0.05714507,24.20099,20.67402,19.6998,18.87712,18.49342,5.855233999999999,0.2540195,0.111149,0.1785285,0.2029405,0.1309411,0.1020284,0.07058281,0.05245059,0.0390135999999999,1.2376487206729818e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.4544,-0.46042159,48404666953.22589,0.460373,145214000859.67767,6457996837266.657,22.91623,21.64556,20.05134,19.35342,19.0324,0.3994927,0.1074837999999999,0.04169016,0.02614215,0.06994925,26.82092,21.58215,20.11505,19.40538,19.07763,1.153695,0.2136417,0.08380362,0.06386546,0.1875415,0.1235809,0.0962934,0.06661532,0.04950232,0.03682064,1.2376487206730473e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.50148000000002,-0.50793941,68093647832.294975,0.4486808,204280943496.8849,12346611197960.342,23.70183,21.95322,19.87241,19.05362,18.6377,0.6299090999999999,0.1234434,0.04274417,0.02983901,0.08154478,25.98054,22.91966,20.05571,19.20692,18.76373,3.150623,1.280639,0.1197379,0.09362178,0.2328572,0.1237353,0.09641369,0.06669854,0.04956416,0.03686663,1.2376487206730473e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.66378999999998,-0.49751551,56502227995.6106,0.4507236,169506683986.83182,8609525504021.929,22.72549,21.91594,19.97131,19.21915,18.92427,0.9106985,0.09628534,0.03812187,0.02163221,0.06522204,22.65054,21.98503,19.99306,19.1969,18.84393,1.62978,0.2825807,0.07963503,0.05586675,0.1670912999999999,0.1195277,0.09313516,0.06443048,0.04787875,0.03561299,1.237648720673113e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.7309,-0.51648869,58761381274.94739,0.5137633,176284143824.84216,9275967354780.97,22.70242,22.27537,20.54865,19.66084,18.87753,0.4919210999999999,0.182046,0.06041317,0.03248025,0.07029449,23.34508,22.49879,20.61584,19.6494,19.06055,1.421708,0.3819034,0.0959168,0.06083404,0.1417726,0.1186394,0.09244304,0.06395166,0.04752294,0.03534834,1.2376487206731784e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.7701,-0.47002144,81698983461.0751,0.5654253,245096950383.2253,17781823608469.152,23.33553,22.42568,20.46827,19.40437,18.94543,0.6107658,0.1421285,0.05703562,0.02761968,0.07684944,24.50751,22.75523,20.56722,19.44916,19.04275,3.234904,0.571425,0.1053043999999999,0.06264974,0.1598461,0.1171288,0.09126601,0.0631374,0.04691785,0.03489826,1.2376487206731786e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.7514,-0.50125236,59743249577.53915,0.506735,179229748732.61746,9574815472600.732,25.10778,21.77139,20.04991,19.36234,19.10055,0.7701404000000001,0.1794835,0.04494113,0.0290072999999999,0.08311369,26.28181,21.99131,20.02561,19.34896,18.85918,1.660257,0.3547775999999999,0.08460858,0.07034837,0.1780802,0.1177158,0.09172335,0.06345379,0.04715296,0.03507314,1.237648720673179e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.90596000000002,-0.62568885,71632986805.56802,0.4579948,214898960416.70407,13648673219754.748,21.13207,21.74482,19.99972,18.97331,18.41565,2.513385,0.1317743999999999,0.04458737,0.02085792,0.05285715,24.15462,21.92126,20.06523,19.10626,18.46349,2.567652,0.5203897,0.3408185999999999,0.1983388999999999,0.1632260999999999,0.1052379,0.08200065,0.05672767,0.04215474,0.03135538,1.2376487206732434e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
